1101,11,KABUPATEN ACEH SELATAN
1102,11,KABUPATEN ACEH TENGGARA
1103,11,KABUPATEN ACEH TIMUR
1104,11,KABUPATEN ACEH TENGAH
1105,11,KABUPATEN ACEH BARAT
1106,11,KABUPATEN ACEH BESAR
1107,11,KABUPATEN PIDIE
1108,11,KABUPATEN ACEH UTARA
1109,11,KABUPATEN SIMEULUE
1110,11,KABUPATEN ACEH SINGKIL
1111,11,KABUPATEN BIREUEN
1112,11,KABUPATEN ACEH BARAT DAYA
1113,11,KABUPATEN GAYO LUES
1114,11,KABUPATEN ACEH JAYA
1115,11,KABUPATEN NAGAN RAYA
1116,11,KABUPATEN ACEH TAMIANG
1117,11,KABUPATEN BENER MERIAH
1118,11,KABUPATEN PIDIE JAYA
1171,11,KOTA BANDA ACEH
1172,11,KOTA SABANG
1173,11,KOTA LHOKSEUMAWE
1174,11,KOTA LANGSA
1175,11,KOTA SUBULUSSALAM
1201,12,KABUPATEN TAPANULI TENGAH
1202,12,KABUPATEN TAPANULI UTARA
1203,12,KABUPATEN TAPANULI SELATAN
1204,12,KABUPATEN NIAS
1205,12,KABUPATEN LANGKAT
1206,12,KABUPATEN KARO
1207,12,KABUPATEN DELI SERDANG
1208,12,KABUPATEN SIMALUNGUN
1209,12,KABUPATEN ASAHAN
1210,12,KABUPATEN LABUHANBATU
1211,12,KABUPATEN DAIRI
1212,12,KABUPATEN TOBA SAMOSIR
1213,12,KABUPATEN MANDAILING NATAL
1214,12,KABUPATEN NIAS SELATAN
1215,12,KABUPATEN PAKPAK BHARAT
1216,12,KABUPATEN HUMBANG HASUNDUTAN
1217,12,KABUPATEN SAMOSIR
1218,12,KABUPATEN SERDANG BEDAGAI
1219,12,KABUPATEN BATU BARA
1220,12,KABUPATEN PADANG LAWAS UTARA
1221,12,KABUPATEN PADANG LAWAS
1222,12,KABUPATEN LABUHANBATU SELATAN
1223,12,KABUPATEN LABUHANBATU UTARA
1224,12,KABUPATEN NIAS UTARA
1225,12,KABUPATEN NIAS BARAT
1271,12,KOTA MEDAN
1272,12,KOTA PEMATANGSIANTAR
1273,12,KOTA SIBOLGA
1274,12,KOTA TANJUNG BALAI
1275,12,KOTA BINJAI
1276,12,KOTA TEBING TINGGI
1277,12,KOTA PADANGSIDIMPUAN
1278,12,KOTA GUNUNGSITOLI
1301,13,KABUPATEN PESISIR SELATAN
1302,13,KABUPATEN SOLOK
1303,13,KABUPATEN SIJUNJUNG
1304,13,KABUPATEN TANAH DATAR
1305,13,KABUPATEN PADANG PARIAMAN
1306,13,KABUPATEN AGAM
1307,13,KABUPATEN LIMA PULUH KOTA
1308,13,KABUPATEN PASAMAN
1309,13,KABUPATEN KEPULAUAN MENTAWAI
1310,13,KABUPATEN DHARMASRAYA
1311,13,KABUPATEN SOLOK SELATAN
1312,13,KABUPATEN PASAMAN BARAT
1371,13,KOTA PADANG
1372,13,KOTA SOLOK
1373,13,KOTA SAWAHLUNTO
1374,13,KOTA PADANG PANJANG
1375,13,KOTA BUKITTINGGI
1376,13,KOTA PAYAKUMBUH
1377,13,KOTA PARIAMAN
1401,14,KABUPATEN KAMPAR
1402,14,KABUPATEN INDRAGIRI HULU
1403,14,KABUPATEN BENGKALIS
1404,14,KABUPATEN INDRAGIRI HILIR
1405,14,KABUPATEN PELALAWAN
1406,14,KABUPATEN ROKAN HULU
1407,14,KABUPATEN ROKAN HILIR
1408,14,KABUPATEN SIAK
1409,14,KABUPATEN KUANTAN SINGINGI
1410,14,KABUPATEN KEPULAUAN MERANTI
1471,14,KOTA PEKANBARU
1472,14,KOTA DUMAI
1501,15,KABUPATEN KERINCI
1502,15,KABUPATEN MERANGIN
1503,15,KABUPATEN SAROLANGUN
